Row, Timestamp, Series 1, Series 2
0   , 0.128, , 97     
1   , 0.428, , 96     
2   , 0.728, , 98     
3   , 1.028, , 98     
4   , 1.328, , 98     
5   , 1.628, , 98     
6   , 1.928, , 96     
7   , 2.228, , 94     
8   , 2.528, , 94     
9   , 2.828, , 92     
10  , 3.128, , 93     
11  , 3.428, , 94     
12  , 3.728, , 93     
13  , 4.028, , 93     
14  , 4.328, , 94     
15  , 4.628, , 93     
16  , 4.928, , 93     
17  , 5.228, , 94     
18  , 5.528, , 92     
19  , 5.828, , 93     
20  , 6.128, , 94     
21  , 6.428, , 93     
22  , 6.728, , 93     
23  , 7.028, , 94     
24  , 7.328, , 93     
25  , 7.628, , 97     
26  , 7.928, , 100    
27  , 8.228, , 100    
28  , 8.528, , 100    
29  , 8.828, , 100    
30  , 9.128, , 100    
31  , 9.428, , 97     
32  , 9.728, , 94     
33  , 10.028, , 93     
34  , 10.328, , 94     
35  , 10.628, , 93     
36  , 10.928, , 93     
37  , 11.228, , 94     
38  , 11.528, , 93     
39  , 11.828, , 93     
40  , 12.128, , 94     
41  , 12.428, , 93     
42  , 12.728, , 93     
43  , 13.028, , 92     
44  , 13.328, , 94     
45  , 13.628, , 93     
46  , 13.928, , 93     
47  , 14.228, , 93     
48  , 14.528, , 94     
49  , 14.828, , 95     
50  , 15.128, , 99     
51  , 15.428, , 100    
52  , 15.728, , 100    
53  , 16.028, , 100    
54  , 16.328, , 100    
55  , 16.628, , 99     
56  , 16.928, , 95     
57  , 17.228, , 94     
58  , 17.528, , 92     
59  , 17.828, , 93     
60  , 18.128, , 93     
61  , 18.428, , 93     
62  , 18.728, , 94     
63  , 19.028, , 94     
64  , 19.328, , 93     
65  , 19.628, , 95     
66  , 19.928, , 94     
67  , 20.228, , 93     
68  , 20.528, , 94     
69  , 20.828, , 94     
70  , 21.128, , 93     
71  , 21.428, , 93     
72  , 21.728, , 94     
73  , 22.028, , 94     
74  , 22.328, , 96     
75  , 22.628, , 100    
76  , 22.928, , 100    
77  , 23.228, , 100    
78  , 23.528, , 100    
79  , 23.828, , 100    
80  , 24.128, , 97     
81  , 24.428, , 93     
82  , 24.728, , 93     
83  , 25.028, , 94     
84  , 25.328, , 93     
85  , 25.628, , 94     
86  , 25.928, , 95     
87  , 26.228, , 93     
88  , 26.528, , 92     
89  , 26.828, , 94     
90  , 27.128, , 94     
91  , 27.428, , 94     
92  , 27.728, , 94     
93  , 28.028, , 94     
94  , 28.328, , 92     
95  , 28.628, , 94     
96  , 28.928, , 93     
97  , 29.228, , 93     
98  , 29.528, , 93     
99  , 29.828, , 98     
100 , 30.128, , 100    
101 , 30.428, , 100    
102 , 30.728, , 100    
103 , 31.028, , 100    
