Row, Timestamp, Series 1, Series 2
0   , 0.964, , 97     
1   , 1.264, , 96     
2   , 1.564, , 98     
3   , 1.864, , 98     
4   , 2.164, , 98     
5   , 2.464, , 98     
6   , 2.764, , 93     
7   , 3.064, , 86     
8   , 3.364, , 85     
9   , 3.664, , 85     
10  , 3.964, , 87     
11  , 4.264, , 85     
12  , 4.564, , 84     
13  , 4.864, , 87     
14  , 5.164, , 84     
15  , 5.464, , 86     
16  , 5.764, , 87     
17  , 6.064, , 87     
18  , 6.364, , 85     
19  , 6.664, , 86     
20  , 6.964, , 86     
21  , 7.264, , 86     
22  , 7.564, , 86     
23  , 7.864, , 87     
24  , 8.164, , 88     
25  , 8.464, , 95     
26  , 8.764, , 100    
27  , 9.064, , 100    
28  , 9.364, , 100    
29  , 9.664, , 100    
30  , 9.964, , 98     
31  , 10.264, , 88     
32  , 10.564, , 84     
33  , 10.864, , 85     
34  , 11.164, , 86     
35  , 11.464, , 85     
36  , 11.764, , 86     
37  , 12.064, , 95     
38  , 12.364, , 100    
39  , 12.664, , 100    
40  , 12.964, , 100    
41  , 13.264, , 100    
42  , 13.564, , 100    
43  , 13.864, , 100    
44  , 14.164, , 100    
45  , 14.464, , 100    
46  , 14.764, , 100    
47  , 15.064, , 100    
48  , 15.364, , 100    
49  , 15.664, , 100    
50  , 15.964, , 100    
51  , 16.264, , 100    
52  , 16.564, , 100    
53  , 16.864, , 100    
54  , 17.164, , 100    
55  , 17.464, , 95     
56  , 17.764, , 85     
57  , 18.064, , 85     
58  , 18.364, , 86     
59  , 18.664, , 87     
60  , 18.964, , 87     
61  , 19.264, , 90     
62  , 19.564, , 99     
63  , 19.864, , 100    
64  , 20.164, , 100    
65  , 20.464, , 100    
66  , 20.764, , 100    
67  , 21.064, , 100    
68  , 21.364, , 100    
69  , 21.664, , 100    
70  , 21.964, , 100    
71  , 22.264, , 100    
72  , 22.564, , 100    
73  , 22.864, , 100    
74  , 23.164, , 100    
75  , 23.464, , 100    
76  , 23.764, , 100    
77  , 24.064, , 100    
78  , 24.364, , 100    
79  , 24.664, , 99     
80  , 24.964, , 89     
81  , 25.264, , 82     
82  , 25.564, , 84     
83  , 25.864, , 86     
84  , 26.164, , 86     
85  , 26.464, , 85     
86  , 26.764, , 92     
87  , 27.064, , 100    
88  , 27.364, , 100    
89  , 27.664, , 100    
90  , 27.964, , 100    
91  , 28.264, , 100    
92  , 28.564, , 100    
93  , 28.864, , 100    
94  , 29.164, , 100    
95  , 29.464, , 100    
96  , 29.764, , 100    
97  , 30.064, , 100    
98  , 30.364, , 100    
99  , 30.664, , 100    
100 , 30.964, , 100    
