Row, Timestamp, Series 1, Series 2
0   , 0.011, , 97     
1   , 0.311, , 96     
2   , 0.611, , 98     
3   , 0.911, , 98     
4   , 1.211, , 98     
5   , 1.511, , 92     
6   , 1.811, , 86     
7   , 2.111, , 86     
8   , 2.411, , 86     
9   , 2.711, , 85     
10  , 3.011, , 86     
11  , 3.311, , 91     
12  , 3.611, , 99     
13  , 3.911, , 100    
14  , 4.211, , 100    
15  , 4.511, , 100    
16  , 4.811, , 100    
17  , 5.111, , 100    
18  , 5.411, , 100    
19  , 5.711, , 100    
20  , 6.011, , 100    
21  , 6.311, , 100    
22  , 6.611, , 100    
23  , 6.911, , 100    
24  , 7.211, , 100    
25  , 7.511, , 100    
26  , 7.811, , 100    
27  , 8.111, , 100    
28  , 8.411, , 100    
29  , 8.711, , 97     
30  , 9.011, , 89     
31  , 9.311, , 84     
32  , 9.611, , 85     
33  , 9.911, , 84     
34  , 10.211, , 85     
35  , 10.511, , 85     
36  , 10.811, , 84     
37  , 11.111, , 84     
38  , 11.411, , 85     
39  , 11.711, , 86     
40  , 12.011, , 84     
41  , 12.311, , 85     
42  , 12.611, , 86     
43  , 12.911, , 84     
44  , 13.211, , 86     
45  , 13.511, , 86     
46  , 13.811, , 87     
47  , 14.111, , 85     
48  , 14.411, , 92     
49  , 14.711, , 100    
50  , 15.011, , 100    
51  , 15.311, , 100    
52  , 15.611, , 100    
53  , 15.911, , 100    
54  , 16.211, , 94     
55  , 16.511, , 86     
56  , 16.811, , 85     
57  , 17.111, , 88     
58  , 17.411, , 87     
59  , 17.711, , 84     
60  , 18.011, , 88     
61  , 18.311, , 99     
62  , 18.611, , 100    
63  , 18.911, , 100    
64  , 19.211, , 100    
65  , 19.511, , 100    
66  , 19.811, , 100    
67  , 20.111, , 100    
68  , 20.411, , 100    
69  , 20.711, , 100    
70  , 21.011, , 100    
71  , 21.311, , 100    
72  , 21.611, , 100    
73  , 21.911, , 100    
74  , 22.211, , 100    
75  , 22.511, , 100    
76  , 22.811, , 100    
77  , 23.111, , 100    
78  , 23.411, , 97     
79  , 23.711, , 90     
80  , 24.011, , 87     
81  , 24.311, , 88     
82  , 24.611, , 86     
83  , 24.911, , 85     
84  , 25.211, , 85     
85  , 25.511, , 94     
86  , 25.811, , 100    
87  , 26.111, , 100    
88  , 26.411, , 100    
89  , 26.711, , 100    
90  , 27.011, , 100    
91  , 27.311, , 100    
92  , 27.611, , 100    
93  , 27.911, , 100    
94  , 28.211, , 100    
95  , 28.511, , 100    
96  , 28.811, , 100    
97  , 29.111, , 100    
98  , 29.411, , 100    
99  , 29.711, , 100    
100 , 30.011, , 100    
